Designator,Mid X,Mid Y,Rotation,Layer
C1,129.0,-75.4027,90.0,top
HX711,45.8,-111.5,270.0,top
J1,36.8,-112.5,270.0,top
J2,37.0,-98.5,270.0,top
J3,119.5,-108.75,90.0,top
J4,119.5,-88.25,90.0,top
J5,119.5,-71.5,90.0,top
J6,128.7,-65.0,90.0,top
J7,36.5,-81.25,90.0,top
J8,36.5,-64.75,90.0,top
R_SERIAL1,87.0,-78.5,270.0,top
SPINDLE_PORT1,128.5,-90.75,90.0,top
TRAVERSE_PORT1,128.5,-111.25,90.0,top
U1,103.3175,-89.0,270.0,top
U2,67.5,-91.04,0.0,top
U3,103.3175,-109.0,270.0,top
U4,102.5,-68.5,0.0,top
U5,45.5,-80.25,270.0,top
